region,energy_ratio,elevation,2,1,0
OA,1.9230769230769231,-3.0,0.004926176909742325,-0.10577788368829599,0.4341211147163222
OA,1.9230769230769231,-2.0,-0.007802948536011484,0.08397942908202619,-0.2490277958021463
OA,1.9230769230769231,-1.0,-7.833683943564773e-05,-0.03670753030591182,0.1341801976128631
OA,1.9230769230769231,0.0,0.004264333441758953,-0.08808657912387796,0.17458665806719476
OA,1.9230769230769231,1.0,-0.003112314340879621,0.04288191087988215,-0.5016012401301035
OA,1.9230769230769231,2.0,0.00349366730144994,-0.04068538780145942,-0.39539751385358013
OA,1.9230769230769231,3.0,-7.27301527875514e-05,0.03536490215032848,-0.9552850305897627
OA,1.9230769230769231,4.0,-0.009030445542404009,0.17884972540830674,-1.7631740750641856
OA,1.9230769230769231,5.0,-0.014511874563913226,0.27826286925251825,-2.614637929051681
OA,1.9230769230769231,6.0,-0.0239653744216652,0.4186117746218134,-4.3037066718875
OA,1.9607843137254901,-8.0,-0.0013987864467380623,0.07014769192963849,-1.1710747738958345
OA,1.9607843137254901,-7.0,0.011129996962959327,-0.19348869044305816,0.5146273455669825
OA,1.9607843137254901,-6.0,0.004758266818172211,-0.1034214792947887,0.38560375287915494
OA,1.9607843137254901,-5.0,0.0007140424326212027,-0.031846638812493264,0.14269972498622735
OA,1.9607843137254901,-4.0,-0.009309714924970514,0.1268204675138421,-0.4488694881725359
OA,1.9607843137254901,-3.0,-0.0005973715410350811,-0.010919036926504085,0.00550195990441857
OA,1.9607843137254901,-2.0,-0.0030745156061377918,0.03823370254318781,-0.33421855514355747
OA,1.9607843137254901,-1.0,0.0015656444510747233,-0.018781390470437462,-0.31342804240641403
OA,1.9607843137254901,0.0,0.00864511630138319,-0.10284144261715217,-0.2694774314993771
OA,1.9607843137254901,1.0,0.0020855428360147983,0.018818654552177665,-0.991552174191535
OA,1.9607843137254901,2.0,-0.014046193945605216,0.2595526632583407,-2.195104672673125
OA,1.9607843137254901,3.0,-0.0100877208604761,0.21348122702794786,-2.5654514585100414
OA,1.9607843137254901,4.0,-0.034770553557235524,0.5617709847398376,-5.0349288625750095
OA,2.0,-9.0,0.037550133059903325,-0.5528968167834177,1.1078647310058505
OA,2.0,-8.0,0.017990910438271175,-0.24169428666655612,0.42750525819585894
OA,2.0,-7.0,0.010987032064276567,-0.14648784576870943,0.369033422350189
OA,2.0,-6.0,-0.0017345167586870322,0.03382634168162399,-0.1831163782553883
OA,2.0,-5.0,0.002150124549721003,-0.027396498848070244,-0.023335523919616807
OA,2.0,-4.0,-0.008085335652146274,0.13103143259338348,-0.7299813566823945
OA,2.0,-3.0,0.0014560058943877646,-2.0514967511336042e-05,-0.4715616061707715
OA,2.0,-2.0,-0.0036714518887555497,0.08491921778552824,-1.0187735503216464
OA,2.0,-1.0,-0.01677254115902261,0.2990844188106495,-2.1000449172902007
OA,2.0,0.0,-0.024728757638555456,0.4344194820156197,-3.0123580083910984
OA,2.0,1.0,-0.0064486113974417635,0.1578633213234536,-2.6148606116263498
OA,2.0,2.0,-0.05205901833676993,0.6373920590393674,-5.664567815830965
OA,2.0408163265306123,-10.0,0.02673342417734436,-0.38063061593446323,-0.00025975625397030815
OA,2.0408163265306123,-9.0,0.008944776696545309,-0.10903497726683156,-0.2715481434270395
OA,2.0408163265306123,-8.0,0.005192397555376661,-0.0552594117333349,-0.12264252640656256
OA,2.0408163265306123,-7.0,-0.004122907937226389,0.07409579205674019,-0.4498052967458617
OA,2.0408163265306123,-6.0,0.0055705148655456355,-0.06651832522641156,-0.06582728424396236
OA,2.0408163265306123,-5.0,-0.0019258491935333405,0.06018685860032079,-0.7688858645183401
OA,2.0408163265306123,-4.0,-0.006565137891604541,0.1388523529837173,-1.3427766993757404
OA,2.0408163265306123,-3.0,-0.007754866298622447,0.15804740761952682,-1.7352622243923184
OA,2.0408163265306123,-2.0,-0.031505475662452445,0.5312992962088474,-3.5643792490651602
OA,2.0408163265306123,-1.0,-0.02825003844929886,0.4523702731674982,-4.010201642420453
OA,2.0833333333333335,-11.0,-0.0028110015412728855,0.015952144123452514,-2.1831560985358696
